states,count
California,8912
Washington,3966
Florida,3835
Texas,3447
New York,2980
Illinois,2499
Arizona,2414
Pennsylvania,2366
Ohio,2275
Michigan,1836
Oregon,1747
North Carolina,1740
Missouri,1458
Colorado,1413
Indiana,1288
Virginia,1273
Massachusetts,1256
Georgia,1255
New Jersey,1255
Wisconsin,1232
Tennessee,1119
Minnesota,1012
South Carolina,1003
Connecticut,892
Kentucky,855
Maryland,837
Nevada,803
Oklahoma,724
New Mexico,720
Iowa,678
Alabama,642
Utah,622
Kansas,613
Arkansas,588
Maine,558
Louisiana,558
Idaho,521
New Hampshire,486
Montana,478
West Virginia,448
Nebraska,381
Mississippi,375
Alaska,319
Hawaii,262
Vermont,260
Rhode Island,228
South Dakota,183
Wyoming,175
Delaware,166
North Dakota,129
Puerto Rico,25
District of Columbia,7
