,state,count
0,ca,8912
1,wa,3966
2,fl,3835
3,tx,3447
4,ny,2980
5,il,2499
6,az,2414
7,pa,2366
8,oh,2275
9,mi,1836
10,or,1747
11,nc,1740
12,mo,1458
13,co,1413
14,in,1288
15,va,1273
16,ma,1256
17,ga,1255
18,nj,1255
19,wi,1232
20,tn,1119
21,mn,1012
22,sc,1003
23,ct,892
24,ky,855
25,md,837
26,nv,803
27,ok,724
28,nm,720
29,ia,678
30,al,642
31,ut,622
32,ks,613
33,ar,588
34,la,558
35,me,558
36,id,521
37,nh,486
38,mt,478
39,wv,448
40,ne,381
41,ms,375
42,ak,319
43,hi,262
44,vt,260
45,ri,228
46,sd,183
47,wy,175
48,de,166
49,nd,129
50,pr,25
51,dc,7
